record_id,experiment_id,figure_panel,cell_line,assay,observable,variant,dose_nM,time_min,condition,inhibitor,inhibitor_concentration_uM,value,value_unit,replicate_count,dispersion_value,extraction_method,evidence_class
fig7d_D7_EHT1864_90min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,90,endocytosis_inhibited,EHT1864,100,36,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_EHT1864_120min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,120,endocytosis_inhibited,EHT1864,100,34.2,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_D7_EHT1864_180min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,D7,,180,endocytosis_inhibited,EHT1864,100,27,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_control_1min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,1,control,,,90.9,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_control_5min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,5,control,,,96.6,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_control_15min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,15,control,,,96.6,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_control_60min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,60,control,,,72.7,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_control_90min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,90,control,,,58,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_control_120min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,120,control,,,34.1,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_control_180min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,180,control,,,40.9,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_EHT1864_1min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,1,endocytosis_inhibited,EHT1864,100,73.9,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_EHT1864_5min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,5,endocytosis_inhibited,EHT1864,100,83,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_EHT1864_15min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,15,endocytosis_inhibited,EHT1864,100,81.8,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_EHT1864_60min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,60,endocytosis_inhibited,EHT1864,100,73.9,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_EHT1864_90min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,90,endocytosis_inhibited,EHT1864,100,54.5,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_EHT1864_120min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,120,endocytosis_inhibited,EHT1864,100,40.9,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
fig7d_A11_EHT1864_180min,moraga2015_fig7d,Figure 7D,HeLa,phospho-flow cytometry,pSTAT6,A11,,180,endocytosis_inhibited,EHT1864,100,37.5,% pSTAT6,,,raster_color_segmentation_v1,digitized_from_published_raster
